Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Prime Mover,Unit Code,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Status,Energy Source 1,Energy Source 2,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year
1307,Basin Electric Power Coop,6204,Laramie River Station,WY,Platte,1,ST,,570.0,570.0,570.0,OP,SUB,,9,1981, , 
1307,Basin Electric Power Coop,6204,Laramie River Station,WY,Platte,2,ST,,570.0,570.0,570.0,OP,SUB,,7,1981, , 
1307,Basin Electric Power Coop,6204,Laramie River Station,WY,Platte,3,ST,,570.0,570.0,570.0,OP,SUB,,11,1982, , 
9267,"Hoosier Energy R E C, Inc",6213,Merom,IN,Sullivan,1,ST,,540.0,492.0,500.0,OP,BIT,DFO,9,1983, , 
9267,"Hoosier Energy R E C, Inc",6213,Merom,IN,Sullivan,2,ST,,540.0,490.0,498.0,OP,BIT,DFO,2,1982, , 
9667,City of Jasper - (IN),6225,Jasper 2,IN,Dubois,1,ST,,14.5,13.6,13.6,SB,BIT,,9,1968, , 
15466,Public Service Co of Colorado,6248,Pawnee,CO,Morgan,1,ST,,552.3,505.0,505.0,OP,SUB,,11,1981, , 
17543,South Carolina Public Service Authority,6249,Winyah,SC,Georgetown,1,ST,,315.0,275.0,280.0,OP,BIT,,3,1975, , 
17543,South Carolina Public Service Authority,6249,Winyah,SC,Georgetown,2,ST,,315.0,285.0,290.0,OP,BIT,WO,7,1977, , 
17543,South Carolina Public Service Authority,6249,Winyah,SC,Georgetown,3,ST,,315.0,285.0,290.0,OP,BIT,,5,1980, , 
17543,South Carolina Public Service Authority,6249,Winyah,SC,Georgetown,4,ST,,315.0,285.0,290.0,OP,BIT,,11,1981, , 
3046,Duke Energy Progress - (NC),6250,Mayo,NC,Person,1,ST,,735.8,727.0,746.0,OP,BIT,,3,1983, , 
9417,Interstate Power and Light Co,6254,Ottumwa,IA,Wapello,1,ST,,725.9,746.3,751.2,OP,SUB,,5,1981, , 
7140,Georgia Power Co,6257,Scherer,GA,Monroe,1,ST,,891.0,817.0,817.0,OP,SUB,DFO,3,1982, , 
7140,Georgia Power Co,6257,Scherer,GA,Monroe,2,ST,,891.0,857.0,857.0,OP,SUB,DFO,2,1984, , 
7140,Georgia Power Co,6257,Scherer,GA,Monroe,3,ST,,891.0,857.0,857.0,OP,SUB,DFO,1,1987, , 
7140,Georgia Power Co,6257,Scherer,GA,Monroe,4,ST,,891.0,858.0,859.0,OP,SUB,DFO,2,1989, , 
733,Appalachian Power Co,6264,Mountaineer,WV,Mason,1,ST,,"1,300.0","1,299.0","1,299.0",OP,BIT,,9,1980, , 
7353,Golden Valley Elec Assn Inc,6288,Healy,AK,Denali,1,ST,,28.0,25.0,25.0,OP,SUB,WC,11,1967, , 
1307,Basin Electric Power Coop,6469,Antelope Valley,ND,Mercer,1,ST,,434.9,450.0,450.0,OP,LIG,,7,1984, , 
1307,Basin Electric Power Coop,6469,Antelope Valley,ND,Mercer,2,ST,,434.9,450.0,450.0,OP,LIG,,7,1986, , 
11208,Los Angeles Department of Water & Power,6481,Intermountain Power Project,UT,Millard,1,ST,,820.0,900.0,900.0,OP,BIT,SUB,6,1986, , 
11208,Los Angeles Department of Water & Power,6481,Intermountain Power Project,UT,Millard,2,ST,,820.0,900.0,900.0,OP,BIT,SUB,5,1987, , 
1692,Big Rivers Electric Corp,6639,R D Green,KY,Webster,1,ST,,293.0,231.0,231.0,OP,BIT,PC,12,1979, , 
1692,Big Rivers Electric Corp,6639,R D Green,KY,Webster,2,ST,,293.0,223.0,223.0,OP,BIT,PC,1,1981, , 
814,Entergy Arkansas Inc,6641,Independence Steam Electric Station,AR,Independence,1,ST,,900.0,838.5,839.0,OP,SUB,,1,1983, , 
814,Entergy Arkansas Inc,6641,Independence Steam Electric Station,AR,Independence,2,ST,,900.0,842.0,842.0,OP,SUB,,12,1984, , 
55983,Luminant Generation Company LLC,6648,Sandow No 4,TX,Milam,4,ST,,590.6,600.0,600.0,OP,LIG,DFO,5,1981, , 
12341,MidAmerican Energy Co,6664,Louisa,IA,Louisa,1,ST,,811.9,746.2,746.2,OP,SUB,,10,1983, , 
261,AGC Division of APG Inc,6705,Warrick,IN,Warrick,1,ST,,166.6,151.0,152.0,OP,BIT,NG,4,1960, , 
261,AGC Division of APG Inc,6705,Warrick,IN,Warrick,2,ST,,166.6,153.0,151.0,OP,BIT,NG,1,1964, , 
261,AGC Division of APG Inc,6705,Warrick,IN,Warrick,3,ST,,166.6,155.0,153.0,OP,BIT,NG,10,1965, , 
261,AGC Division of APG Inc,6705,Warrick,IN,Warrick,4,ST,,323.0,300.0,300.0,OP,BIT,NG,10,1970, , 
15143,Platte River Power Authority,6761,Rawhide,CO,Larimer,1,ST,,293.6,280.0,280.0,OP,SUB,DFO,4,1984, , 
17177,City of Sikeston - (MO),6768,Sikeston Power Station,MO,Scott,1,ST,,261.0,233.0,233.0,OP,SUB,,9,1981, , 
20447,"Western Farmers Elec Coop, Inc",6772,Hugo,OK,Choctaw,1,ST,,446.0,440.0,440.0,OP,SUB,,4,1982, , 
1692,Big Rivers Electric Corp,6823,D B Wilson,KY,Ohio,1,ST,,509.4,417.0,417.0,OP,BIT,PC,9,1984, , 
56598,"Major Oak Power, LLC",7030,Twin Oaks Power One,TX,Robertson,1,ST,,174.6,152.0,153.0,OP,LIG,NG,9,1990, , 
56598,"Major Oak Power, LLC",7030,Twin Oaks Power One,TX,Robertson,2,ST,,174.6,153.0,154.0,OP,LIG,NG,10,1991, , 
16604,City of San Antonio - (TX),7097,J K Spruce,TX,Bexar,1,ST,,566.0,555.0,555.0,OP,SUB,,12,1992, , 
16604,City of San Antonio - (TX),7097,J K Spruce,TX,Bexar,2,ST,,878.0,785.0,785.0,OP,SUB,,5,2010, , 
17539,South Carolina Electric&Gas Company,7210,Cope,SC,Orangeburg,ST1,ST,,417.3,415.0,415.0,OP,BIT,NG,1,1996, , 
19876,Virginia Electric & Power Co,7213,Clover,VA,Halifax,1,ST,,424.0,440.0,443.0,OP,BIT,,10,1995, , 
19876,Virginia Electric & Power Co,7213,Clover,VA,Halifax,2,ST,,424.0,437.0,438.0,OP,BIT,,3,1996, , 
18454,Tampa Electric Co,7242,Polk,FL,Polk,1CA,CA,CC1,133.4,59.0,59.0,OP,BIT,SGC,9,1996, , 
18454,Tampa Electric Co,7242,Polk,FL,Polk,1CT,CT,CC1,192.9,161.0,161.0,OP,SGC,BIT,9,1996, , 
12341,MidAmerican Energy Co,7343,George Neal South,IA,Woodbury,4,ST,,695.9,644.0,644.0,OP,SUB,,7,1979, , 
19545,Black Hills Power Inc,7504,Neil Simpson II,WY,Campbell,2,ST,,80.0,80.0,80.0,OP,SUB,NG,9,1995, , 
20847,Wisconsin Electric Power Co,7549,Milwaukee County,WI,Milwaukee,1,ST,,11.0,7.0,7.0,OP,SUB,,3,1996, , 
17539,South Carolina Electric&Gas Company,7737,Kapstone,SC,Charleston,1,ST,,99.2,85.0,85.0,OP,BIT,WDS,4,1999, , 
40230,Deseret Generation & Tran Coop,7790,Bonanza,UT,Uintah,1,ST,,499.5,458.0,458.0,OP,BIT,,5,1986, , 
17698,Southwestern Electric Power Co,7902,Pirkey,TX,Harrison,1,ST,,721.0,721.0,721.0,OP,LIG,SUB,1,1985, , 
20856,Wisconsin Power & Light Co,8023,Columbia (WI),WI,Columbia,1,ST,,556.0,563.0,578.0,OP,SUB,,5,1975, , 
20856,Wisconsin Power & Light Co,8023,Columbia (WI),WI,Columbia,2,ST,,556.0,547.0,559.0,OP,SUB,,5,1978, , 
5416,"Duke Energy Carolinas, LLC",8042,Belews Creek,NC,Stokes,1,ST,,"1,080.1","1,110.0","1,135.0",OP,BIT,DFO,8,1974, , 
5416,"Duke Energy Carolinas, LLC",8042,Belews Creek,NC,Stokes,2,ST,,"1,080.1","1,110.0","1,135.0",OP,BIT,DFO,12,1975, , 
14354,PacifiCorp,8066,Jim Bridger,WY,Sweetwater,1,ST,,608.3,531.0,531.0,OP,SUB,DFO,11,1974, , 
14354,PacifiCorp,8066,Jim Bridger,WY,Sweetwater,2,ST,,617.0,527.0,527.0,OP,SUB,DFO,12,1975, , 
14354,PacifiCorp,8066,Jim Bridger,WY,Sweetwater,3,ST,,608.3,523.0,523.0,OP,SUB,DFO,9,1976, , 
14354,PacifiCorp,8066,Jim Bridger,WY,Sweetwater,4,ST,,608.3,530.0,530.0,OP,SUB,DFO,11,1979, , 
14354,PacifiCorp,8069,Huntington,UT,Emery,1,ST,,541.3,459.0,459.0,OP,BIT,DFO,6,1977, , 
14354,PacifiCorp,8069,Huntington,UT,Emery,2,ST,,496.0,450.0,450.0,OP,BIT,DFO,7,1974, , 
58620,AEP Generation Resources Inc,8102,General James M Gavin,OH,Gallia,1,ST,,"1,300.0","1,299.0","1,299.0",OP,BIT,SUB,10,1974, , 
58620,AEP Generation Resources Inc,8102,General James M Gavin,OH,Gallia,2,ST,,"1,300.0","1,299.0","1,299.0",OP,BIT,SUB,7,1975, , 
3989,City of Colorado Springs - (CO),8219,Ray D Nixon,CO,El Paso,1,ST,,207.0,208.0,208.0,OP,SUB,,4,1980, , 
14232,Otter Tail Power Co,8222,Coyote,ND,Mercer,1,ST,,450.0,427.0,427.0,OP,LIG,,5,1981, , 
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,1,ST,,424.8,387.0,387.0,OP,SUB,,6,1985, , 
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,2,ST,,424.8,406.0,406.0,OP,SUB,,6,1990, , 
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,3,ST,,458.1,417.0,417.0,OP,SUB,,7,2006, , 
24211,Tucson Electric Power Co,8223,Springerville,AZ,Apache,4,ST,,458.1,415.0,415.0,OP,SUB,,12,2009, , 
17166,Sierra Pacific Power Co,8224,North Valmy,NV,Humboldt,1,ST,,277.2,254.0,254.0,OP,BIT,SUB,12,1981,12,2021
